"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Glynn County, Georgia","13127",62116,7137,54979,11370,5874,9473,7587,7647,5159,1998,5871,33597,4198,29399,6640,3487,5375,4234,3909,2150,923,2681,24275,2321,21954,4000,1872,3180,2833,3362,2739,1007,2961,661,55,606,46,64,174,66,113,78,29,36,3583,563,3020,684,451,744,454,263,192,39,193
"Gordon County, Georgia","13129",41799,6454,35345,7813,4509,7166,6128,4982,2358,826,1563,26336,3791,22545,5044,3016,4231,4002,3436,1497,521,798,10795,1765,9030,2074,916,1534,1337,1354,796,293,726,121,10,111,28,2,9,14,48,10,0,0,4547,888,3659,667,575,1392,775,144,55,12,39
"Grady County, Georgia","13131",19300,3387,15913,3980,2411,3241,2363,2107,890,301,620,13228,2121,11107,2863,1666,2151,1593,1594,661,251,328,4565,743,3822,902,544,732,617,485,212,50,280,86,32,54,36,0,3,9,6,0,0,0,1421,491,930,179,201,355,144,22,17,0,12
"Greene County, Georgia","13133",13113,2437,10676,2862,1498,2139,1505,827,538,274,1033,9362,1832,7530,2266,1178,1548,1003,661,344,117,413,3283,411,2872,515,285,577,409,140,194,146,606,66,24,42,39,0,0,3,0,0,0,0,402,170,232,42,35,14,90,26,0,11,14
"Gwinnett County, Georgia","13135",588105,90968,497137,87994,43147,78277,67594,75704,52244,22166,70011,136551,24119,112432,25082,8967,15582,13828,17457,12917,4736,13863,257091,29710,227381,33487,15516,27871,28760,37427,27851,13009,43460,9635,2006,7629,1417,606,771,1165,1482,683,393,1112,184828,35133,149695,28008,18058,34053,23841,19338,10793,4028,11576
"Habersham County, Georgia","13137",33910,6102,27808,7155,3518,5621,3775,3571,1854,616,1698,21702,3768,17934,5347,2138,3277,2355,2524,1111,414,768,8743,1316,7427,1476,1086,1255,1083,859,691,199,778,164,22,142,37,18,19,13,14,26,0,15,3301,996,2305,295,276,1070,324,174,26,3,137
"Hall County, Georgia","13139",133750,21919,111831,19829,12221,22244,17604,15992,9643,4159,10139,64540,10168,54372,11317,6238,9547,7766,8344,4950,2266,3944,41014,5311,35703,5591,3077,5065,5345,5683,3761,1769,5412,1587,455,1132,154,63,190,331,181,125,12,76,26609,5985,20624,2767,2843,7442,4162,1784,807,112,707
"Hancock County, Georgia","13141",8164,2741,5423,1788,967,1274,701,417,124,83,69,6936,2220,4716,1641,822,1162,560,315,124,53,39,1016,399,617,147,104,112,134,60,0,30,30,17,17,0,0,0,0,0,0,0,0,0,195,105,90,0,41,0,7,42,0,0,0
"Haralson County, Georgia","13143",22517,3272,19245,5009,2682,3638,2476,2605,1316,397,1122,17113,2519,14594,3828,2080,2815,1876,1934,966,277,818,5098,714,4384,1122,548,758,555,649,328,120,304,41,0,41,0,0,14,27,0,0,0,0,265,39,226,59,54,51,18,22,22,0,0
"Harris County, Georgia","13145",24760,3555,21205,3896,2433,2794,2392,3384,2165,1015,3126,13696,2081,11615,2611,1475,1463,1477,1862,1145,462,1120,9812,1202,8610,1133,795,1144,863,1388,906,531,1850,493,147,346,38,0,54,16,70,82,0,86,759,125,634,114,163,133,36,64,32,22,70
"Hart County, Georgia","13147",20335,2792,17543,5045,2325,3038,2756,2009,1256,193,921,12373,1563,10810,3236,1502,1928,1700,1240,653,103,448,7335,1111,6224,1579,811,1044,1000,720,562,69,439,116,31,85,16,12,9,10,0,17,21,0,511,87,424,214,0,57,46,49,24,0,34
"Heard County, Georgia","13149",9280,1462,7818,1672,1364,1369,1104,1262,511,263,273,6450,1157,5293,1178,1020,892,763,805,349,179,107,2620,294,2326,409,335,431,295,447,159,84,166,110,0,110,48,0,33,26,0,3,0,0,100,11,89,37,9,13,20,10,0,0,0
"Henry County, Georgia","13151",146863,20593,126270,22514,10173,17376,17216,22415,16224,6508,13844,69984,10571,59413,12154,5366,8297,8208,10783,6906,2763,4936,60715,7223,53492,7775,3742,6456,7197,9600,7932,3199,7591,2311,297,2014,537,19,234,216,425,135,310,138,13853,2502,11351,2048,1046,2389,1595,1607,1251,236,1179
"Houston County, Georgia","13153",105056,14307,90749,19218,7388,13567,13496,12942,9373,4626,10139,49865,7476,42389,10449,3646,7002,6475,6345,4000,1492,2980,45951,4905,41046,6991,2804,5173,6147,5893,4730,2850,6458,2708,421,2287,693,156,310,298,236,237,50,307,6532,1505,5027,1085,782,1082,576,468,406,234,394
"Irwin County, Georgia","13155",7703,1242,6461,2251,796,1085,835,614,495,137,248,5762,899,4863,1749,578,748,600,408,440,113,227,1722,222,1500,416,218,337,235,194,55,24,21,26,26,0,0,0,0,0,0,0,0,0,193,95,98,86,0,0,0,12,0,0,0
"Jackson County, Georgia","13157",45543,6716,38827,8290,4455,6116,5698,5701,4145,1316,3106,28784,4405,24379,5950,2925,3548,3606,3693,2351,685,1621,13825,1769,12056,1894,1150,1966,1733,1644,1679,592,1398,562,50,512,114,117,103,109,35,24,0,10,2372,492,1880,332,263,499,250,329,91,39,77
"Jasper County, Georgia","13159",10753,1453,9300,2252,1087,1812,1480,1210,673,145,641,7759,1175,6584,1729,725,1206,1114,914,446,26,424,2567,265,2302,428,233,518,320,265,202,119,217,30,0,30,0,0,27,3,0,0,0,0,397,13,384,95,129,61,43,31,25,0,0
"Jeff Davis County, Georgia","13161",11132,1747,9385,2395,1205,2193,1611,940,582,253,206,8639,1241,7398,1883,863,1780,1324,723,486,225,114,1757,364,1393,435,226,119,232,198,63,28,92,74,24,50,9,0,41,0,0,0,0,0,662,118,544,68,116,253,55,19,33,0,0
"Jefferson County, Georgia","13163",13301,2494,10807,3248,1579,1993,1640,1180,658,148,361,10933,2048,8885,2902,1301,1661,1261,908,502,103,247,2065,325,1740,334,246,257,364,234,156,35,114,61,8,53,12,0,0,3,38,0,0,0,242,113,129,0,32,75,12,0,0,10,0
"Jenkins County, Georgia","13165",6617,881,5736,1540,1118,1248,565,487,364,114,300,5280,640,4640,1369,909,968,430,336,257,114,257,890,149,741,124,147,122,86,112,107,0,43,77,36,41,0,0,0,23,18,0,0,0,370,56,314,47,62,158,26,21,0,0,0
"Johnson County, Georgia","13167",8162,2251,5911,1780,986,1153,663,591,377,89,272,6835,1691,5144,1503,843,1061,545,513,344,72,263,1168,460,708,269,92,92,118,78,33,17,9,49,12,37,0,37,0,0,0,0,0,0,110,88,22,8,14,0,0,0,0,0,0
"Jones County, Georgia","13169",22280,3221,19059,4179,1871,3265,2775,2947,2173,635,1214,16285,2640,13645,3238,1380,2495,2221,1977,1462,361,511,5173,425,4748,907,491,674,403,916,617,151,589,173,0,173,24,0,0,10,0,42,97,0,649,156,493,10,0,96,141,54,52,26,114
"Lamar County, Georgia","13171",14617,1766,12851,4257,1507,2341,1519,1778,634,413,402,11540,1380,10160,3373,1327,1975,1108,1297,486,330,264,2736,298,2438,872,180,271,343,420,131,83,138,95,15,80,0,0,15,27,21,17,0,0,246,73,173,12,0,80,41,40,0,0,0
"Lanier County, Georgia","13173",7209,1137,6072,1835,660,1200,852,508,674,113,230,4661,785,3876,1336,415,927,471,237,279,91,120,2228,317,1911,464,243,150,331,271,395,22,35,2,0,2,0,2,0,0,0,0,0,0,318,35,283,35,0,123,50,0,0,0,75
"Laurens County, Georgia","13175",37748,7642,30106,6561,4139,5522,4497,4292,2589,684,1822,29720,6406,23314,5082,3246,4436,3546,3556,1848,421,1179,6870,1053,5817,1217,711,991,754,665,653,245,581,169,19,150,26,34,2,16,22,36,0,14,989,164,825,236,148,93,181,49,52,18,48
"Lee County, Georgia","13177",21510,3390,18120,3532,1776,2707,2237,3006,2351,897,1614,14118,2230,11888,2423,1228,2066,1565,2097,1231,495,783,6549,1027,5522,942,424,496,636,885,1042,335,762,207,41,166,39,0,33,9,0,18,67,0,636,92,544,128,124,112,27,24,60,0,69
"Liberty County, Georgia","13179",47422,7381,40041,9495,4046,6759,6453,6313,3952,961,2062,13556,2285,11271,3122,1635,1832,1582,1329,981,178,612,26818,3279,23539,4614,1824,4084,3997,4410,2606,692,1312,3092,835,2257,958,263,368,201,186,168,30,83,3956,982,2974,801,324,475,673,388,197,61,55
"Lincoln County, Georgia","13181",6716,894,5822,1659,744,1036,711,804,388,100,380,4794,671,4123,1322,535,663,527,526,267,43,240,1794,204,1590,329,203,358,163,266,94,45,132,74,15,59,6,0,0,5,12,24,12,0,54,4,50,2,6,15,16,0,3,0,8
"Long County, Georgia","13183",9782,1769,8013,2008,1104,1549,1614,856,551,182,149,4666,940,3726,1107,357,678,794,334,253,86,117,4423,677,3746,803,653,673,736,478,275,96,32,165,13,152,44,0,30,28,27,23,0,0,528,139,389,54,94,168,56,17,0,0,0
"Lowndes County, Georgia","13185",83192,12029,71163,19648,8665,13035,9452,9405,4694,1841,4423,46598,7233,39365,12246,5203,7097,4955,4902,2188,762,2012,30822,3758,27064,6305,2540,4900,3951,4124,2138,985,2121,1639,236,1403,424,156,198,289,146,136,4,50,4133,802,3331,673,766,840,257,233,232,90,240
"Lumpkin County, Georgia","13187",23809,3085,20724,6012,2284,3843,2840,2345,1366,674,1360,13371,1974,11397,3686,1387,2078,1564,1242,606,380,454,9092,936,8156,2031,678,1384,1166,1046,685,294,872,243,26,217,77,0,85,0,40,15,0,0,1103,149,954,218,219,296,110,17,60,0,34
"McDuffie County, Georgia","13189",16939,2652,14287,3558,2045,3054,2013,1719,1132,245,521,12569,2035,10534,2862,1436,2382,1427,1233,722,90,382,4003,512,3491,646,586,531,580,465,396,155,132,95,30,65,26,9,30,0,0,0,0,0,272,75,197,24,14,111,6,21,14,0,7
