"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Woodbury City School District, New Jersey","3418150",8186,1017,7169,1469,745,967,839,1075,938,518,618,4479,667,3812,738,415,574,489,537,519,252,288,3160,298,2862,535,296,306,274,483,396,242,330,113,0,113,56,7,14,7,9,9,11,0,434,52,382,140,27,73,69,46,14,13,0
"Woodlynne Borough School District, New Jersey","3418270",2152,401,1751,523,161,381,250,321,64,22,29,1013,242,771,268,77,160,107,123,4,19,13,397,47,350,126,28,68,38,58,19,3,10,137,15,122,33,11,26,18,22,6,0,6,605,97,508,96,45,127,87,118,35,0,0
"Wood-Ridge Borough School District, New Jersey","3418300",6656,904,5752,737,370,602,676,1158,641,329,1239,3913,590,3323,473,179,395,415,660,368,186,647,1211,156,1055,68,136,134,77,207,103,51,279,115,17,98,0,0,18,53,0,0,6,21,1417,141,1276,196,55,55,131,291,170,86,292
"Woodstown-Pilesgrove Regional School District, New Jersey","3418330",6256,758,5498,993,366,764,588,585,619,359,1224,3630,504,3126,636,192,429,300,390,285,241,653,2424,224,2200,326,174,285,261,164,310,118,562,4,0,4,4,0,0,0,0,0,0,0,198,30,168,27,0,50,27,31,24,0,9
"School District Not Defined, New Jersey","3499997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Remainder of New Jersey, New Jersey","3499999",1334601,162085,1172516,189935,89375,149786,124213,147814,128196,58841,284356,687324,90518,596806,111822,46809,73032,64318,75895,68877,31220,124833,447822,41515,406307,53730,28035,49439,41646,49858,43903,20630,119066,19036,2571,16465,2829,1284,2801,1508,2404,1853,829,2957,180419,27481,152938,21554,13247,24514,16741,19657,13563,6162,37500
"Harmony Township School District, New Jersey","3406810",2184,261,1923,247,141,259,251,246,317,101,361,1476,192,1284,177,79,185,171,197,236,59,180,650,69,581,53,58,68,80,43,81,35,163,6,0,6,0,0,0,0,6,0,0,0,52,0,52,17,4,6,0,0,0,7,18
"Harrison Town School District, New Jersey","3406870",11557,2688,8869,1409,870,1826,1217,1031,1133,388,995,2913,723,2190,359,193,448,344,241,254,114,237,879,133,746,96,35,161,5,143,180,28,98,402,83,319,58,31,63,97,13,40,0,17,7363,1749,5614,896,611,1154,771,634,659,246,643
"Hasbrouck Heights Borough School District, New Jersey","3406930",9689,1309,8380,1072,508,1168,800,1019,970,648,2195,5204,562,4642,650,473,724,460,616,488,333,898,2420,264,2156,228,35,261,153,268,230,179,802,59,0,59,10,0,29,0,20,0,0,0,2006,483,1523,184,0,154,187,115,252,136,495
"Hawthorne Borough School District, New Jersey","3406990",15406,1290,14116,2526,1002,1554,1488,2152,1580,971,2843,9412,774,8638,1680,716,722,870,1420,1006,677,1547,2736,137,2599,397,92,273,130,318,272,142,975,246,0,246,83,19,53,81,0,10,0,0,3012,379,2633,366,175,506,407,414,292,152,321
"Hi-Nella Borough School District, New Jersey","3407080",741,98,643,107,53,141,108,117,69,10,38,374,46,328,54,27,82,63,48,22,6,26,283,28,255,32,20,53,37,53,44,4,12,4,0,4,0,0,0,4,0,0,0,0,80,24,56,21,6,6,4,16,3,0,0
"Highland Park Borough School District, New Jersey","3407170",11275,1271,10004,1367,762,1294,1109,1258,911,573,2730,3322,344,2978,691,111,391,309,465,264,126,621,3841,234,3607,240,272,452,337,358,476,217,1255,404,123,281,38,15,54,0,38,0,65,71,3708,570,3138,398,364,397,463,397,171,165,783
"Hillsborough Township School District, New Jersey","3407230",30243,3766,26477,4093,1303,2525,2299,2928,3186,1621,8522,14809,1702,13107,2488,685,1143,1125,1491,1835,882,3458,8308,730,7578,782,309,797,481,899,831,417,3062,381,83,298,11,12,73,84,15,42,0,61,6745,1251,5494,812,297,512,609,523,478,322,1941
"Hillside Township School District, New Jersey","3407290",17177,3431,13746,2654,1244,1787,2035,1993,1546,422,2065,7934,2182,5752,1398,531,706,737,785,657,208,730,2906,269,2637,619,326,325,241,293,243,56,534,391,57,334,22,50,11,69,84,37,11,50,5946,923,5023,615,337,745,988,831,609,147,751
"Ho-Ho-Kus Borough School District, New Jersey","3407320",3155,431,2724,425,104,214,173,241,235,199,1133,1396,159,1237,184,52,112,84,138,144,62,461,1152,117,1035,198,32,81,76,79,64,76,429,19,0,19,0,0,0,0,0,12,7,0,588,155,433,43,20,21,13,24,15,54,243
"Hoboken City School District, New Jersey","3407350",43786,4548,39238,3647,1605,2528,2398,3725,5808,3031,16496,17573,2211,15362,1341,743,1161,895,1732,2642,1338,5510,16956,1219,15737,779,291,670,985,1446,2398,1273,7895,2025,63,1962,819,270,202,125,112,175,75,184,7232,1055,6177,708,301,495,393,435,593,345,2907
"Holmdel Township School District, New Jersey","3407410",13294,2198,11096,2085,542,1458,808,963,816,464,3960,5061,1071,3990,986,226,616,337,349,315,160,1001,4917,668,4249,614,213,530,298,377,312,151,1754,159,0,159,27,48,23,0,18,0,0,43,3157,459,2698,458,55,289,173,219,189,153,1162
"Hopatcong Borough School District, New Jersey","3407440",12430,1230,11200,1631,596,1573,1194,1577,1712,651,2266,7321,813,6508,1075,350,942,632,961,929,317,1302,3585,221,3364,346,180,456,410,459,502,295,716,94,0,94,8,17,16,0,0,34,6,13,1430,196,1234,202,49,159,152,157,247,33,235
"Hope Township School District, New Jersey","3407470",1467,180,1287,187,128,161,143,174,150,42,302,1030,158,872,137,69,100,90,122,113,12,229,299,14,285,33,29,40,29,39,34,21,60,19,5,14,0,0,0,0,4,0,3,7,119,3,116,17,30,21,24,9,3,6,6
"Hopewell Valley Regional School District, New Jersey","3407530",17303,2320,14983,2326,563,1306,980,1439,1344,809,6216,8195,1236,6959,1416,293,676,586,835,568,381,2204,6604,646,5958,663,215,514,316,525,618,269,2838,105,39,66,3,0,6,0,0,6,0,51,2399,399,2000,244,55,110,78,79,152,159,1123
"Interlaken Borough School District, New Jersey","3407650",719,60,659,86,40,62,66,47,76,38,244,470,36,434,62,16,43,43,27,56,22,165,228,21,207,20,24,17,23,16,16,14,77,5,0,5,2,0,0,0,0,3,0,0,16,3,13,2,0,2,0,4,1,2,2
"Irvington Township School District, New Jersey","3407680",42760,7387,35373,7032,4016,6334,5841,5745,3403,1209,1793,17319,3579,13740,3101,1393,2235,2065,2382,1349,494,721,8600,797,7803,1599,821,1289,1093,1357,951,298,395,1018,81,937,184,157,241,47,63,180,41,24,15823,2930,12893,2148,1645,2569,2636,1943,923,376,653
"Jackson Township School District, New Jersey","3407740",43847,4472,39375,6214,3216,4916,3978,4934,4618,2036,9463,22639,2517,20122,3784,1532,2248,1983,2684,2530,1028,4333,16356,1368,14988,1816,1337,1947,1574,1787,1707,795,4025,604,34,570,148,106,68,27,49,53,22,97,4248,553,3695,466,241,653,394,414,328,191,1008
"Jamesburg Borough School District, New Jersey","3407770",4583,595,3988,493,361,633,439,829,566,183,484,2209,299,1910,144,191,294,164,362,425,93,237,1248,130,1118,73,107,153,182,251,125,21,206,123,28,95,0,0,46,0,30,0,0,19,1003,138,865,276,63,140,93,186,16,69,22
"Jefferson Township School District, New Jersey","3407800",16999,2153,14846,1899,730,1761,1594,2135,1900,877,3950,11468,1518,9950,1410,398,1185,953,1443,1398,628,2535,3644,361,3283,359,230,382,363,415,350,162,1022,135,15,120,19,14,13,40,34,0,0,0,1752,259,1493,111,88,181,238,243,152,87,393
"Jersey City School District, New Jersey","3407830",205247,37044,168203,28651,15212,25742,18983,23496,16871,7156,32092,60794,13224,47570,11764,4273,7050,5561,6860,4423,1509,6130,41355,4333,37022,4230,2682,4589,3694,5770,4391,1917,9749,10713,1642,9071,2228,1457,1371,1122,1325,544,267,757,92385,17845,74540,10429,6800,12732,8606,9541,7513,3463,15456
"Keansburg Borough School District, New Jersey","3407860",7943,1077,6866,1405,664,1268,999,992,729,250,559,4900,679,4221,843,485,748,648,633,404,174,286,2258,334,1924,411,125,395,208,231,295,69,190,89,0,89,62,11,0,0,16,0,0,0,696,64,632,89,43,125,143,112,30,7,83
"Kearny Town School District, New Jersey","3407890",33405,7172,26233,4073,2448,3685,3583,4272,3403,1430,3339,13324,2772,10552,1892,1037,1249,1405,1414,1278,545,1732,3230,709,2521,326,180,295,312,476,410,191,331,1518,202,1316,190,168,162,196,241,255,36,68,15333,3489,11844,1665,1063,1979,1670,2141,1460,658,1208
"Kenilworth Borough School District, New Jersey","3407920",6660,852,5808,829,390,813,660,808,1059,337,912,4432,756,3676,609,214,503,362,484,708,241,555,565,27,538,26,25,125,32,98,63,63,106,82,0,82,28,0,29,0,0,11,0,14,1581,69,1512,166,151,156,266,226,277,33,237
