"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Henry County, Georgia","13151",131579,13668,40397,42992,23019,11503,60279,7462,21770,18437,8475,4135,56034,4141,14368,20526,11171,5828,2413,28,570,650,777,388,12853,2037,3689,3379,2596,1152
"Houston County, Georgia","13153",93271,10294,28088,33255,13538,8096,43574,6143,14491,15194,4848,2898,40977,2374,11148,15462,7323,4670,2031,129,405,1020,365,112,6689,1648,2044,1579,1002,416
"Irwin County, Georgia","13155",6521,1196,2566,2058,277,424,5161,834,2025,1763,236,303,1270,334,508,266,41,121,34,8,20,6,0,0,56,20,13,23,0,0
"Jackson County, Georgia","13157",40137,7423,14012,11220,5005,2477,24252,4936,9289,6160,2567,1300,13387,1274,4186,4670,2138,1119,322,87,127,54,51,3,2176,1126,410,336,249,55
"Jasper County, Georgia","13159",9185,1834,3661,2404,795,491,6333,1489,2415,1638,490,301,2525,178,1184,709,274,180,8,0,8,0,0,0,319,167,54,57,31,10
"Jeff Davis County, Georgia","13161",9602,2020,4108,2612,468,394,7398,1152,3562,1986,357,341,1632,410,499,576,111,36,0,0,0,0,0,0,572,458,47,50,0,17
"Jefferson County, Georgia","13163",10847,3060,4578,2214,690,305,8830,2526,3939,1619,498,248,1674,357,545,531,189,52,64,4,17,40,3,0,279,173,77,24,0,5
"Jenkins County, Georgia","13165",5935,1599,2093,1511,502,230,4785,1196,1847,1162,380,200,872,227,220,278,122,25,83,9,26,48,0,0,195,167,0,23,0,5
"Johnson County, Georgia","13167",6926,1660,2770,1830,398,268,5490,1427,2257,1335,294,177,1310,214,498,468,81,49,17,0,9,8,0,0,109,19,6,19,23,42
"Jones County, Georgia","13169",19297,2384,7518,5829,2296,1270,14739,1971,6180,4422,1495,671,4001,355,1320,1213,656,457,154,6,18,50,28,52,403,52,0,144,117,90
"Lamar County, Georgia","13171",11601,1905,4359,3408,1259,670,8748,1571,3382,2631,734,430,2421,243,850,708,434,186,141,15,57,18,36,15,291,76,70,51,55,39
"Lanier County, Georgia","13173",6716,1479,1992,2415,473,357,3845,1094,1084,1099,241,327,2568,320,861,1125,232,30,163,0,30,133,0,0,140,65,17,58,0,0
"Laurens County, Georgia","13175",31835,6101,13985,7130,2598,2021,25128,5065,11507,5462,1713,1381,5422,537,2102,1472,771,540,205,60,62,60,15,8,1080,439,314,136,99,92
"Lee County, Georgia","13177",18626,2691,5437,6340,2437,1721,11209,1827,3539,3737,1208,898,6259,617,1574,2331,1077,660,319,23,99,159,0,38,839,224,225,113,152,125
"Liberty County, Georgia","13179",36049,3531,11212,14267,4789,2250,10493,1797,3929,2902,1142,723,20285,1174,5657,9395,2919,1140,2098,114,702,815,277,190,3173,446,924,1155,451,197
"Lincoln County, Georgia","13181",5614,995,2419,1591,330,279,3805,757,1750,926,187,185,1630,207,583,636,110,94,95,15,47,16,17,0,84,16,39,13,16,0
"Long County, Georgia","13183",9377,1471,3601,3005,963,337,3981,606,1566,1326,361,122,4374,440,1714,1533,501,186,274,78,131,16,49,0,748,347,190,130,52,29
"Lowndes County, Georgia","13185",64014,10408,18808,20071,9213,5514,33932,6200,11107,9693,4501,2431,25143,2558,6519,9192,4202,2672,940,62,280,382,127,89,3999,1588,902,804,383,322
