"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Richmond County School District, Georgia","1304380",130545,22143,40231,40700,16928,10543,71969,14984,24327,20318,8114,4226,48216,5424,13327,17354,6933,5178,3860,500,1151,1405,656,148,6500,1235,1426,1623,1225,991
"Rockdale County School District, Georgia","1304410",57669,7534,18611,16664,9998,4862,25887,3051,9975,7528,3612,1721,23422,1594,6982,7303,4908,2635,613,94,152,127,227,13,7747,2795,1502,1706,1251,493
"Rome City School District, Georgia","1304440",22926,5436,5984,5785,3307,2414,14349,3038,4085,4041,1913,1272,5178,775,1236,1317,969,881,163,25,56,6,61,15,3236,1598,607,421,364,246
"Schley County School District, Georgia","1304470",3346,626,1154,1108,271,187,2566,507,870,890,173,126,689,55,277,208,88,61,17,12,0,0,5,0,74,52,7,10,5,0
"Screven County School District, Georgia","1304500",9671,1744,3950,2553,919,505,7542,1457,3202,1908,603,372,1926,281,684,592,264,105,69,0,38,7,14,10,134,6,26,46,38,18
"Seminole County School District, Georgia","1304530",5940,948,2430,1667,554,341,4205,721,1748,1147,379,210,1629,209,613,520,156,131,6,0,0,0,6,0,100,18,69,0,13,0
"Social Circle City School District, Georgia","1304540",3091,682,973,1173,96,167,2011,452,652,792,55,60,959,129,321,361,41,107,0,0,0,0,0,0,121,101,0,20,0,0
"Stephens County School District, Georgia","1304560",17196,3158,6202,4462,1824,1550,11308,2411,4329,3091,719,758,5375,633,1683,1241,1067,751,126,0,0,56,38,32,387,114,190,74,0,9
"Stewart County School District, Georgia","1304590",4316,1481,1653,647,416,119,2435,686,1025,398,229,97,472,50,192,106,120,4,19,0,4,15,0,0,1390,745,432,128,67,18
"Sumter County School District, Georgia","1304620",19209,4101,6473,5408,1683,1544,14493,3117,5305,3992,1168,911,3819,625,988,1245,458,503,79,16,0,53,4,6,818,343,180,118,53,124
"Talbot County School District, Georgia","1304650",4775,992,2054,1133,393,203,3765,796,1664,915,252,138,840,118,335,199,137,51,94,45,19,12,4,14,76,33,36,7,0,0
"Taliaferro County School District, Georgia","1304680",1361,420,646,202,75,18,1134,339,582,150,52,11,177,49,60,48,17,3,4,0,0,4,0,0,46,32,4,0,6,4
"Tattnall County School District, Georgia","1304770",17794,4557,6931,4122,1310,874,11404,2775,4680,2442,921,586,5003,1083,1956,1446,312,206,364,129,62,127,19,27,1023,570,233,107,58,55
"Taylor County School District, Georgia","1304800",5741,1331,2068,1690,419,233,4829,1190,1727,1383,331,198,774,113,280,260,88,33,68,4,61,3,0,0,70,24,0,44,0,2
"Telfair County School District, Georgia","1304830",12318,3651,5836,1833,513,485,8443,1779,4532,1339,423,370,1873,565,798,355,47,108,9,9,0,0,0,0,1993,1298,506,139,43,7
"Terrell County School District, Georgia","1304860",6069,1470,1904,2040,351,304,4952,1322,1602,1533,261,234,1042,131,290,473,78,70,16,0,8,8,0,0,59,17,4,26,12,0
"Toombs County School District, Georgia","1305040",10606,1938,4368,2875,1028,397,8054,1283,3530,2141,860,240,1844,217,652,651,167,157,49,0,1,47,1,0,659,438,185,36,0,0
"Thomas County School District, Georgia","1304890",18095,3307,5714,5473,1944,1657,11318,2109,3930,3348,1080,851,5969,831,1665,1931,786,756,149,25,41,27,48,8,659,342,78,167,30,42
"Thomasville City School District, Georgia","1304950",12356,2027,3796,3377,1699,1457,7738,1472,2850,1890,805,721,4353,509,918,1353,871,702,59,18,0,0,11,30,206,28,28,134,12,4
"Tift County School District, Georgia","1304980",25690,4582,8929,7859,2154,2166,18815,3018,7014,5924,1513,1346,4786,720,1398,1598,471,599,73,9,0,26,38,0,2016,835,517,311,132,221
"Towns County School District, Georgia","1305070",8133,888,2472,2691,1232,850,3383,549,1021,1039,478,296,4476,320,1397,1549,688,522,31,0,5,26,0,0,243,19,49,77,66,32
"Treutlen County School District, Georgia","1305100",4764,1127,1703,1195,455,284,3361,733,1241,925,282,180,1224,312,387,261,160,104,43,0,30,0,13,0,136,82,45,9,0,0
"Trion City School District, Georgia","1305130",1379,458,405,355,102,59,831,130,318,263,73,47,198,21,67,79,19,12,10,0,0,5,5,0,340,307,20,8,5,0
"Turner County School District, Georgia","1305190",5555,1306,2094,1405,473,277,4490,1070,1783,1039,369,229,849,104,277,321,99,48,46,0,21,20,5,0,170,132,13,25,0,0
"Twiggs County School District, Georgia","1305220",6007,1886,2294,1272,350,205,5033,1525,1985,1030,310,183,899,354,289,195,39,22,7,7,0,0,0,0,68,0,20,47,1,0
"Union County School District, Georgia","1305250",17387,1969,6016,5578,2091,1733,6783,1020,2503,1855,740,665,9725,849,3018,3572,1250,1036,316,0,216,54,46,0,563,100,279,97,55,32
"Upson County School District, Georgia","1305280",18022,3756,6657,5281,1425,903,14578,3345,5487,4161,905,680,2933,302,938,1086,409,198,168,24,91,0,45,8,343,85,141,34,66,17
"Valdosta City School District, Georgia","1305310",31077,5224,9209,8224,4704,3716,18065,3538,5851,4449,2510,1717,10939,1121,3034,3272,1828,1684,415,12,85,175,98,45,1658,553,239,328,268,270
"Vidalia City School District, Georgia","1305340",6992,1446,2439,1704,719,684,4140,747,1594,983,412,404,1911,212,612,546,291,250,129,16,42,48,4,19,812,471,191,127,12,11
"Walker County School District, Georgia","1305370",46093,8734,17061,13226,4743,2329,22643,4708,9285,6255,1658,737,22479,3846,7515,6760,2869,1489,296,0,78,46,115,57,675,180,183,165,101,46
