"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Atlanta City School District, Georgia","1300120",389780,56957,332823,70589,30803,44636,36159,40515,30608,13542,65971,179673,31619,148054,40825,18125,23948,17478,17350,9996,4223,16109,174283,17805,156478,25202,10712,16660,15459,20424,17522,7844,42655,4627,671,3956,776,244,316,313,580,406,236,1085,31197,6862,24335,3786,1722,3712,2909,2161,2684,1239,6122
"Bacon County School District, Georgia","1300150",8805,1499,7306,1545,1044,1526,1143,939,499,152,458,6080,1067,5013,1014,810,1014,674,649,445,111,296,2088,315,1773,478,183,363,294,228,24,41,162,73,0,73,14,13,23,0,0,23,0,0,564,117,447,39,38,126,175,62,7,0,0
"Baker County School District, Georgia","1300180",2739,661,2078,337,210,431,351,326,166,68,189,2284,613,1671,275,159,407,255,265,140,41,129,314,28,286,49,43,24,80,17,12,27,34,16,0,16,2,0,0,0,0,14,0,0,125,20,105,11,8,0,16,44,0,0,26
"Baldwin County School District, Georgia","1300210",38207,8275,29932,7778,3700,5464,4021,3602,2356,1130,1881,29720,6404,23316,6165,3004,4432,3243,2926,1602,941,1003,7121,1538,5583,1377,562,844,691,599,588,179,743,305,8,297,113,20,0,5,39,80,10,30,1061,325,736,123,114,188,82,38,86,0,105
"Banks County School District, Georgia","1300240",14920,2438,12482,2689,1679,2884,1693,1621,958,370,588,10451,1600,8851,1954,1097,2047,1193,1140,725,315,380,3622,599,3023,561,553,704,382,419,190,48,166,61,0,61,14,12,4,0,0,8,0,23,786,239,547,160,17,129,118,62,35,7,19
"Berrien County School District, Georgia","1300390",15255,3248,12007,2489,1738,2397,1697,1715,1229,222,520,10814,2349,8465,1613,1303,1621,1162,1356,895,164,351,3758,733,3025,786,353,656,462,266,297,48,157,93,9,84,33,18,0,6,27,0,0,0,590,157,433,57,64,120,67,66,37,10,12
"Barrow County School District, Georgia","1300290",58089,8923,49166,8938,5602,8490,7670,7566,4890,2032,3978,30505,5265,25240,5379,3369,4535,4020,3540,2108,786,1503,21494,2396,19098,2760,1790,3005,2789,3279,2318,956,2201,777,129,648,104,73,95,121,23,48,68,116,5313,1133,4180,695,370,855,740,724,416,222,158
"Bartow County School District, Georgia","1300330",66233,9832,56401,10713,6398,10106,7797,8287,5885,1878,5337,38826,5681,33145,6816,3924,5622,5083,4775,3257,923,2745,23326,3352,19974,3377,2204,3750,2231,3025,2238,896,2253,488,10,478,89,48,84,10,58,75,35,79,3593,789,2804,431,222,650,473,429,315,24,260
"Ben Hill County School District, Georgia","1300360",13552,2784,10768,2602,1713,1878,1565,1587,959,111,353,10125,2074,8051,2088,1150,1535,1031,1168,745,96,238,2857,562,2295,480,459,300,371,362,197,15,111,52,18,34,0,0,19,0,11,0,0,4,518,130,388,34,104,24,163,46,17,0,0
"Bibb County School District, Georgia","1300420",121822,21280,100542,25385,12011,16240,12804,13153,7648,3232,10069,89023,16448,72575,19191,9061,12161,9432,9568,5141,2193,5828,26737,3667,23070,5103,2493,3159,2813,3036,2150,886,3430,931,271,660,185,36,71,112,75,95,23,63,5131,894,4237,906,421,849,447,474,262,130,748
"Bleckley County School District, Georgia","1300440",10602,2822,7780,1810,929,1441,1366,873,605,243,513,8177,2086,6091,1307,733,1220,1117,591,548,201,374,2125,641,1484,431,184,192,238,245,41,27,126,63,45,18,0,0,0,11,0,7,0,0,237,50,187,72,12,29,0,37,9,15,13
"Brantley County School District, Georgia","1300480",14712,2697,12015,2897,1888,2228,1533,1628,885,293,663,9344,1902,7442,1923,1191,1296,981,818,582,230,421,4917,688,4229,899,687,865,490,776,266,45,201,209,34,175,42,0,41,0,11,37,18,26,242,73,169,33,10,26,62,23,0,0,15
"Bremen City School District, Georgia","1300510",4562,569,3993,781,314,666,579,558,337,157,601,3016,326,2690,540,251,482,508,266,210,78,355,1444,205,1239,205,63,184,71,264,127,79,246,38,38,0,0,0,0,0,0,0,0,0,64,0,64,36,0,0,0,28,0,0,0
"Brooks County School District, Georgia","1300540",12882,2260,10622,2288,1091,2356,1914,1325,624,256,768,8227,1346,6881,1527,827,1686,1023,724,460,149,485,3960,747,3213,636,220,588,693,557,149,107,263,82,0,82,24,0,0,28,17,9,0,4,613,167,446,101,44,82,170,27,6,0,16
"Bryan County School District, Georgia","1300570",26515,4078,22437,4460,1595,3053,2586,2910,2421,1046,4366,11787,2052,9735,1967,895,1531,1365,1337,917,419,1304,12829,1689,11140,2055,649,1224,1122,1388,1369,607,2726,499,87,412,181,0,45,47,40,50,0,49,1400,250,1150,257,51,253,52,145,85,20,287
"Buford City School District, Georgia","1300600",11637,2028,9609,2152,996,1966,1393,1192,814,294,802,4859,988,3871,907,513,757,429,560,261,154,290,3711,553,3158,569,349,311,519,435,383,122,470,157,44,113,7,0,43,16,32,15,0,0,2910,443,2467,669,134,855,429,165,155,18,42
"Bulloch County School District, Georgia","1300630",61298,11657,49641,15914,5874,7066,5895,5722,3827,1413,3930,41775,8453,33322,11263,4134,5073,3833,3714,2345,905,2055,16536,2650,13886,3875,1470,1732,1747,1862,1303,428,1469,665,75,590,234,27,77,79,33,0,42,98,2322,479,1843,542,243,184,236,113,179,38,308
"Burke County School District, Georgia","1300660",17663,3679,13984,3092,2021,2451,1826,1616,1254,576,1148,13168,3125,10043,2164,1625,1769,1399,1188,813,311,774,3846,492,3354,846,358,580,272,345,367,234,352,227,9,218,25,12,11,37,25,65,31,12,422,53,369,57,26,91,118,58,9,0,10
"Butts County School District, Georgia","1300690",19409,4016,15393,3891,2139,2452,2153,1920,1247,409,1182,14311,2749,11562,3075,1685,1857,1631,1417,872,293,732,4067,860,3207,723,411,476,489,467,218,99,324,337,107,230,28,32,34,0,24,96,0,16,694,300,394,65,11,85,33,12,61,17,110
"Calhoun City School District, Georgia","1300720",12173,2260,9913,2156,1093,2188,1577,1257,780,189,673,6132,1090,5042,1374,579,895,684,654,404,59,393,3090,319,2771,527,371,440,433,369,248,113,270,124,0,124,0,12,92,0,20,0,0,0,2827,851,1976,255,131,761,460,214,128,17,10
"Calhoun County School District, Georgia","1300750",5513,2237,3276,827,576,686,408,379,179,79,142,4235,1478,2757,689,543,565,393,293,107,52,115,1002,583,419,105,25,99,9,62,72,27,20,9,3,6,0,0,0,6,0,0,0,0,267,173,94,33,8,22,0,24,0,0,7
"Camden County School District, Georgia","1300780",41319,6108,35211,5843,3828,6615,4669,5123,3194,1505,4434,11335,1880,9455,1852,1065,1506,1568,1189,847,387,1041,26897,3636,23261,3647,2282,4632,2698,3694,2215,1051,3042,1111,289,822,74,101,148,161,59,72,57,150,1976,303,1673,270,380,329,242,181,60,10,201
"Candler County School District, Georgia","1300810",8589,1498,7091,2181,971,1336,772,700,573,125,433,6243,1112,5131,1628,779,918,588,495,426,66,231,1758,227,1531,461,132,317,129,119,120,51,202,56,30,26,0,17,0,0,0,9,0,0,532,129,403,92,43,101,55,86,18,8,0
"Carroll County School District, Georgia","1300840",70796,10498,60298,12583,6584,11316,8130,8499,5681,2767,4738,45085,7085,38000,8393,4482,6834,5214,5423,3377,1389,2888,22810,3070,19740,3743,1900,3877,2555,2733,2063,1206,1663,754,40,714,96,44,229,75,53,101,58,58,2147,303,1844,351,158,376,286,290,140,114,129
"Carrollton City School District, Georgia","1300870",21046,3750,17296,5475,2190,2936,1785,1994,1330,467,1119,13064,2532,10532,3773,1198,1641,1036,1217,776,279,612,5594,624,4970,1326,611,646,593,635,518,154,487,195,43,152,7,0,23,0,57,11,34,20,2193,551,1642,369,381,626,156,85,25,0,0
"Cartersville City School District, Georgia","1300900",15244,2335,12909,2392,1659,2025,1767,1850,1643,268,1305,8669,1426,7243,1460,872,1167,1085,996,776,166,721,4962,601,4361,736,579,425,567,673,769,102,510,140,1,139,11,31,13,0,12,30,0,42,1473,307,1166,185,177,420,115,169,68,0,32
"Catoosa County School District, Georgia","1300930",53301,5863,47438,8590,5277,8470,7109,6963,5181,1525,4323,17193,2144,15049,2766,1876,2776,2449,1882,1784,555,961,34259,3444,30815,5556,3322,5331,4464,4779,3369,871,3123,430,65,365,62,28,0,63,119,1,30,62,1419,210,1209,206,51,363,133,183,27,69,177
"Charlton County School District, Georgia","1300990",10800,2254,8546,1710,1420,1533,1240,1315,660,228,440,5427,1061,4366,790,725,624,711,865,279,113,259,3965,853,3112,528,582,717,413,359,289,110,114,230,113,117,22,52,29,12,0,0,0,2,1178,227,951,370,61,163,104,91,92,5,65
"Chatham County School District, Georgia","1301020",232259,31351,200908,41093,20542,33197,26185,29183,17639,7304,25765,117741,17190,100551,23842,11939,17322,13529,13386,8109,2951,9473,92854,9990,82864,14288,7090,12306,10254,13735,7765,3751,13675,4123,602,3521,731,271,557,549,331,522,81,479,17541,3569,13972,2232,1242,3012,1853,1731,1243,521,2138
"Chattahoochee County School District, Georgia","1301050",2085,294,1791,288,311,315,314,241,95,21,206,1115,110,1005,242,191,237,115,116,54,0,50,887,178,709,27,101,42,196,125,41,21,156,69,6,63,19,5,36,3,0,0,0,0,14,0,14,0,14,0,0,0,0,0,0
"Chattooga County School District, Georgia","1301080",18519,4445,14074,2972,2197,2625,2363,1998,1065,264,590,13467,3266,10201,2139,1471,2049,1750,1426,798,218,350,4699,1086,3613,787,692,540,552,554,251,46,191,74,19,55,27,6,8,0,0,0,0,14,279,74,205,19,28,28,61,18,16,0,35
