"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Monroe Township School District (Middlesex County), New Jersey","3410500",31273,2191,8668,7013,7563,5838,10466,578,3638,2673,2379,1198,13590,699,3927,3448,3189,2327,276,55,94,14,70,43,6941,859,1009,878,1925,2270
"Montague Township School District, New Jersey","3410530",2723,214,1001,1019,309,180,1751,168,728,543,192,120,850,28,224,446,110,42,29,10,19,0,0,0,93,8,30,30,7,18
"Montclair Town School District, New Jersey","3410560",25411,1171,3118,4100,8343,8679,9245,343,1270,1784,3435,2413,10849,360,831,1437,3503,4718,234,9,10,61,56,98,5083,459,1007,818,1349,1450
"Montgomery Township School District, New Jersey","3410590",14757,363,1260,1763,5079,6292,4246,130,668,585,1697,1166,5230,18,304,780,1843,2285,133,0,0,28,80,25,5148,215,288,370,1459,2816
"Montville Township School District, New Jersey","3410650",14789,439,2675,2540,4926,4209,6763,132,1387,1466,2359,1419,3854,113,623,560,1240,1318,253,19,87,72,37,38,3919,175,578,442,1290,1434
"Moonachie Borough School District, New Jersey","3410680",2065,416,931,334,294,90,892,137,425,111,186,33,269,39,127,70,22,11,40,5,0,13,16,6,864,235,379,140,70,40
"Moorestown Township School District, New Jersey","3410710",13893,543,2362,2735,4407,3846,5285,210,1142,1143,1687,1103,7068,223,1066,1375,2364,2040,177,12,0,51,18,96,1363,98,154,166,338,607
"Morris Plains Borough School District, New Jersey","3410770",4050,185,809,896,1274,886,2187,56,495,581,671,384,1280,24,161,219,467,409,59,21,0,16,10,12,524,84,153,80,126,81
"Morris Township School District, New Jersey","3410810",29939,2439,5831,4343,9021,8305,12217,382,2438,2097,4427,2873,9835,320,1091,1320,3280,3824,344,91,64,58,88,43,7543,1646,2238,868,1226,1565
"Mount Arlington Borough School District, New Jersey","3410860",4024,152,1313,1011,734,814,2449,81,941,539,523,365,1171,29,292,343,131,376,21,2,0,19,0,0,383,40,80,110,80,73
